event_name,events,users,sessions,pct_of_users
page_view,1350428,269792,333683,99.9
user_engagement,1058721,213004,275517,78.8
scroll,493072,138098,174140,51.1
view_item,386068,61252,77020,22.7
session_start,354970,267116,354857,98.9
first_visit,257462,257314,257400,95.2
view_promotion,190104,102443,128447,37.9
add_to_cart,58543,12545,15188,4.6
begin_checkout,38757,9715,11106,3.6
select_item,31007,13180,15828,4.9
view_search_results,26172,14449,15719,5.3
add_shipping_info,19722,9714,11105,3.6
add_payment_info,13899,5751,6815,2.1
select_promotion,9450,8164,8499,3.0
purchase,5692,4419,4848,1.6
click,1446,1010,1239,0.4
view_item_list,71,44,59,0.0
