date,weekday,users,sessions,purchases
"Nov 01, 2020",Sunday,2365,2625,14
"Nov 02, 2020",Monday,3262,3731,49
"Nov 03, 2020",Tuesday,4648,5356,49
"Nov 04, 2020",Wednesday,3734,4344,46
"Nov 05, 2020",Thursday,3272,3846,26
"Nov 06, 2020",Friday,2813,3332,58
"Nov 07, 2020",Saturday,2004,2283,31
"Nov 08, 2020",Sunday,1919,2170,32
"Nov 09, 2020",Monday,2805,3282,52
"Nov 10, 2020",Tuesday,3260,3835,64
"Nov 11, 2020",Wednesday,3296,3820,64
"Nov 12, 2020",Thursday,3179,3702,54
"Nov 13, 2020",Friday,2860,3347,79
"Nov 14, 2020",Saturday,2076,2369,30
"Nov 15, 2020",Sunday,1957,2214,21
"Nov 16, 2020",Monday,3085,3541,69
"Nov 17, 2020",Tuesday,3449,4079,98
"Nov 18, 2020",Wednesday,3505,4133,68
"Nov 19, 2020",Thursday,3566,4197,84
"Nov 20, 2020",Friday,3477,4141,118
"Nov 21, 2020",Saturday,2755,3198,68
"Nov 22, 2020",Sunday,2359,2689,60
"Nov 23, 2020",Monday,3421,3968,141
"Nov 24, 2020",Tuesday,3821,4441,147
"Nov 25, 2020",Wednesday,3988,4619,108
"Nov 26, 2020",Thursday,3626,4190,57
"Nov 27, 2020",Friday,3512,3985,97
"Nov 28, 2020",Saturday,3010,3396,78
"Nov 29, 2020",Sunday,2887,3262,51
"Nov 30, 2020",Monday,3971,4593,141
"Dec 01, 2020",Tuesday,4308,5000,107
"Dec 02, 2020",Wednesday,4101,4814,82
"Dec 03, 2020",Thursday,4464,5200,90
"Dec 04, 2020",Friday,4131,4725,96
"Dec 05, 2020",Saturday,3082,3510,87
"Dec 06, 2020",Sunday,2948,3339,42
"Dec 07, 2020",Monday,4709,5461,110
"Dec 08, 2020",Tuesday,6689,7588,122
"Dec 09, 2020",Wednesday,5531,6290,150
"Dec 10, 2020",Thursday,5241,6011,143
"Dec 11, 2020",Friday,4948,5617,160
"Dec 12, 2020",Saturday,3750,4143,106
"Dec 13, 2020",Sunday,3402,3710,74
"Dec 14, 2020",Monday,4552,5106,99
"Dec 15, 2020",Tuesday,4992,5759,139
"Dec 16, 2020",Wednesday,4820,5542,143
"Dec 17, 2020",Thursday,4711,5356,126
"Dec 18, 2020",Friday,4261,4843,107
"Dec 19, 2020",Saturday,3236,3595,52
"Dec 20, 2020",Sunday,2966,3296,20
"Dec 21, 2020",Monday,3627,4017,53
"Dec 22, 2020",Tuesday,3405,3848,60
"Dec 23, 2020",Wednesday,3123,3448,67
"Dec 24, 2020",Thursday,2601,2804,23
"Dec 25, 2020",Friday,2491,2648,17
"Dec 26, 2020",Saturday,2472,2677,17
"Dec 27, 2020",Sunday,2493,2680,20
"Dec 28, 2020",Monday,3042,3358,36
"Dec 29, 2020",Tuesday,3124,3439,24
"Dec 30, 2020",Wednesday,2955,3215,37
"Dec 31, 2020",Thursday,2444,2629,25
"Jan 01, 2021",Friday,2160,2311,14
"Jan 02, 2021",Saturday,2581,2734,14
"Jan 03, 2021",Sunday,2579,2791,14
"Jan 04, 2021",Monday,3079,3373,16
"Jan 05, 2021",Tuesday,4101,4495,29
"Jan 06, 2021",Wednesday,5486,6002,31
"Jan 07, 2021",Thursday,4171,4668,26
"Jan 08, 2021",Friday,3803,4266,34
"Jan 09, 2021",Saturday,2958,3268,20
"Jan 10, 2021",Sunday,2772,3005,14
"Jan 11, 2021",Monday,3606,3958,28
"Jan 12, 2021",Tuesday,4195,4730,48
"Jan 13, 2021",Wednesday,4131,4577,36
"Jan 14, 2021",Thursday,3909,4374,54
"Jan 15, 2021",Friday,3550,3941,47
"Jan 16, 2021",Saturday,2892,3183,27
"Jan 17, 2021",Sunday,2716,2991,14
"Jan 18, 2021",Monday,3226,3616,19
"Jan 19, 2021",Tuesday,3713,4190,49
"Jan 20, 2021",Wednesday,4222,4818,96
"Jan 21, 2021",Thursday,4198,4697,52
"Jan 22, 2021",Friday,3605,4101,100
"Jan 23, 2021",Saturday,2824,3144,43
"Jan 24, 2021",Sunday,2701,2977,36
"Jan 25, 2021",Monday,3507,3919,61
"Jan 26, 2021",Tuesday,3586,4099,55
"Jan 27, 2021",Wednesday,4017,4606,54
"Jan 28, 2021",Thursday,3735,4228,69
"Jan 29, 2021",Friday,3386,3799,54
"Jan 30, 2021",Saturday,2610,2908,31
"Jan 31, 2021",Sunday,2546,2849,19
