week,source,medium,new_users,new_users_wow_growth_pct,purchases,purchase_rate_pct,avg_order_value,total_revenue
2020-11-01,(direct),(none),3989,,60,1.5,63.63,3818.0
2020-11-01,<Other>,<Other>,3023,,32,1.1,46.09,1475.0
2020-11-01,<Other>,organic,558,,7,1.3,49.43,346.0
2020-11-01,<Other>,referral,1579,,31,2.0,52.23,1619.0
2020-11-01,google,cpc,967,,8,0.8,58.25,466.0
2020-11-01,google,organic,5971,,65,1.1,69.63,4526.0
2020-11-08,(direct),(none),3422,-14.2,83,2.4,60.08,4987.0
2020-11-08,<Other>,<Other>,2690,-11.0,55,2.0,47.87,2633.0
2020-11-08,<Other>,organic,454,-18.6,7,1.5,36.0,252.0
2020-11-08,<Other>,referral,1329,-15.8,33,2.5,78.79,2600.0
2020-11-08,google,cpc,808,-16.4,6,0.7,62.83,377.0
2020-11-08,google,organic,5116,-14.3,80,1.6,74.65,5972.0
2020-11-15,(direct),(none),4027,17.7,125,3.1,72.09,9011.0
2020-11-15,<Other>,<Other>,2961,10.1,55,1.9,68.75,3781.0
2020-11-15,<Other>,organic,535,17.8,7,1.3,85.43,598.0
2020-11-15,<Other>,referral,1526,14.8,60,3.9,98.43,5906.0
2020-11-15,google,cpc,891,10.3,21,2.4,47.71,1002.0
2020-11-15,google,organic,5826,13.9,133,2.3,67.38,8962.0
2020-11-22,(direct),(none),4389,9.0,137,3.1,74.98,10272.0
2020-11-22,<Other>,<Other>,3334,12.6,86,2.6,61.13,5257.0
2020-11-22,<Other>,organic,610,14.0,12,2.0,127.42,1529.0
2020-11-22,<Other>,referral,1719,12.6,56,3.3,58.41,3271.0
2020-11-22,google,cpc,958,7.5,18,1.9,39.06,703.0
2020-11-22,google,organic,6430,10.4,183,2.8,70.69,12937.0
2020-11-29,(direct),(none),4991,13.7,128,2.6,61.57,7881.0
2020-11-29,<Other>,<Other>,3736,12.1,76,2.0,67.36,5119.0
2020-11-29,<Other>,organic,692,13.4,10,1.4,57.0,570.0
2020-11-29,<Other>,referral,1884,9.6,66,3.5,69.39,4580.0
2020-11-29,google,cpc,1235,28.9,21,1.7,80.71,1695.0
2020-11-29,google,organic,7512,16.8,181,2.4,73.34,13275.0
2020-12-06,(direct),(none),6416,28.6,185,2.9,79.0,14615.0
2020-12-06,<Other>,<Other>,4974,33.1,79,1.6,61.81,4883.0
2020-12-06,<Other>,organic,877,26.7,25,2.9,115.36,2884.0
2020-12-06,<Other>,referral,2566,36.2,95,3.7,49.55,4707.0
2020-12-06,google,cpc,1509,22.2,24,1.6,49.33,1184.0
2020-12-06,google,organic,9398,25.1,197,2.1,70.35,13859.0
2020-12-13,(direct),(none),5894,-8.1,177,3.0,67.17,11889.0
2020-12-13,<Other>,<Other>,4372,-12.1,61,1.4,69.69,4251.0
2020-12-13,<Other>,cpc,0,,0,,,0.0
2020-12-13,<Other>,organic,778,-11.3,14,1.8,50.5,707.0
2020-12-13,<Other>,referral,2305,-10.2,65,2.8,61.08,3970.0
2020-12-13,google,cpc,1372,-9.1,22,1.6,70.68,1555.0
2020-12-13,google,organic,8569,-8.8,193,2.3,77.58,14972.0
2020-12-20,(direct),(none),4064,-31.0,58,1.4,58.1,3370.0
2020-12-20,<Other>,<Other>,3197,-26.9,29,0.9,50.55,1466.0
2020-12-20,<Other>,organic,581,-25.3,7,1.2,49.29,345.0
2020-12-20,<Other>,referral,1634,-29.1,25,1.5,93.36,2334.0
2020-12-20,google,cpc,934,-31.9,6,0.6,31.0,186.0
2020-12-20,google,organic,6150,-28.2,65,1.1,55.32,3596.0
2020-12-27,(direct),(none),3903,-4.0,36,0.9,59.47,2141.0
2020-12-27,<Other>,<Other>,2868,-10.3,13,0.5,78.77,1024.0
2020-12-27,<Other>,organic,526,-9.5,2,0.4,46.5,93.0
2020-12-27,<Other>,referral,1534,-6.1,14,0.9,150.14,2102.0
2020-12-27,google,<Other>,1,,0,0.0,,0.0
2020-12-27,google,cpc,875,-6.3,3,0.3,62.0,186.0
2020-12-27,google,organic,5741,-6.7,56,1.0,38.18,2138.0
2021-01-03,(direct),(none),5313,36.1,45,0.8,51.73,2328.0
2021-01-03,<Other>,<Other>,4022,40.2,16,0.4,43.19,691.0
2021-01-03,<Other>,organic,766,45.6,5,0.7,47.2,236.0
